| Kružni poprečni presjek |
| 	 d [mm]	          |
---------------------------
| 	   10             |
| 	   11             |
| 	   12             |
| 	   13             |
| 	   14             |
| 	   15             |
| 	   16             |
| 	   17             |
| 	   18             |
| 	   19             |
| 	   20             |
| 	   21             |
| 	   22             |
| 	   23             |
| 	   24             |
| 	   25             |
| 	   26             |
| 	   28             |
| 	   30             |
| 	   32             |
| 	   34             |
| 	   36             |
| 	   38             |
| 	   40             |
| 	   42             |
| 	   45             |
| 	   48             |
| 	   50             |
| 	   52             |
| 	   56             |
| 	   60             |
| 	   63             |
| 	   68             |
| 	   70             |
| 	   75             |
| 	   80             |
| 	   85             |
| 	   90             |
| 	   95             |
| 	  100             |
| 	  105             |
| 	  110             |
| 	  120             |
| 	  125             |
| 	  130             |
| 	  140             |
| 	  150             |
| 	  160             |
| 	  170             |
| 	  180             |
| 	  190             |
| 	  200             |
| 	  210             |
| 	  220             |
| 	  240             |
| 	  250             |
| 	  260             |
| 	  280             |
| 	  300             |
| 	  315             |
| 	  330             |
| 	  355             |
| 	  380             |
| 	  400             |
